Name,Protein identifier,Contig id,Start,Stop,Strand,Gene symbol,Sequence name,Scope,Element type,Element subtype,Class,Subclass,Method,Target length,Reference sequence length,% Coverage of reference sequence,% Identity to reference sequence,Alignment length,Accession of closest sequence,Name of closest sequence,HMM id,HMM description
INOH1078ai,NA,NODE_11_length_112806_cov_30.257047,93650,94879,+,mdtM,multidrug efflux MFS transporter MdtM,plus,AMR,AMR,EFFLUX,EFFLUX,BLASTX,410,410,100,97.8,410,AAC77293.1,multidrug efflux MFS transporter MdtM,NA,NA
INOH1078ai,NA,NODE_19_length_82904_cov_29.539013,11403,15650,+,fdeC,inverse autotransporter adhesin FdeC,plus,VIRULENCE,VIRULENCE,NA,NA,BLASTX,1416,1416,100,94.21,1416,ABE05822.1,inverse autotransporter adhesin FdeC,NA,NA
INOH1078ai,NA,NODE_34_length_39524_cov_25.515789,21183,22538,+,glpT_E448K,Escherichia fosfomycin resistant GlpT,core,AMR,POINT,FOSFOMYCIN,FOSFOMYCIN,POINTX,452,452,100,99.78,452,WP_000948731.1,glycerol-3-phosphate transporter GlpT,NA,NA
INOH1078ai,NA,NODE_3_length_174516_cov_32.296605,136593,137723,+,blaEC,BlaEC family class C beta-lactamase,plus,AMR,AMR,BETA-LACTAM,BETA-LACTAM,BLASTX,377,377,100,97.88,377,WP_063610930.1,extended-spectrum class C beta-lactamase EC-15,NA,NA
INOH1078ai,NA,NODE_40_length_36678_cov_24.977719,8857,11715,+,clpK,heat shock survival AAA family ATPase ClpK,plus,STRESS,HEAT,NA,NA,BLASTX,953,949,100,94.33,953,ASF80763.1,heat shock survival AAA family ATPase ClpK,NA,NA
INOH1078ai,NA,NODE_40_length_36678_cov_24.977719,14593,15048,+,shsP,small heat shock protein sHSP20-GI,plus,STRESS,HEAT,NA,NA,BLASTX,152,152,100,98.68,152,ASF80771.1,small heat shock protein sHSP20-GI,NA,NA
INOH1078ai,NA,NODE_40_length_36678_cov_24.977719,15074,15985,+,yfdX1,heat resistance protein YfdX1,plus,STRESS,HEAT,NA,NA,BLASTX,304,304,100,95.07,304,APX31172.1,heat resistance protein YfdX1,NA,NA
INOH1078ai,NA,NODE_40_length_36678_cov_24.977719,16091,16975,+,yfdX2,heat resistance protein YfdX2,plus,STRESS,HEAT,NA,NA,BLASTX,295,295,100,93.9,295,ASF80766.1,heat resistance protein YfdX2,NA,NA
INOH1078ai,NA,NODE_40_length_36678_cov_24.977719,17075,17683,+,hdeD-GI,heat resistance membrane protein HdeD-GI,plus,STRESS,HEAT,NA,NA,BLASTX,203,203,100,90.15,203,APX31174.1,heat resistance membrane protein HdeD-GI,NA,NA
INOH1078ai,NA,NODE_40_length_36678_cov_24.977719,20860,21297,+,trxLHR,heat resistance system thioredoxin Trx-GI,plus,STRESS,HEAT,NA,NA,BLASTX,146,146,100,90.41,146,APX31176.1,heat resistance system thioredoxin Trx-GI,NA,NA
INOH1078ai,NA,NODE_59_length_18366_cov_34.234521,2362,2928,+,hsp20,small heat shock protein sHSP20,plus,STRESS,HEAT,NA,NA,BLASTX,189,189,100,98.94,189,CDY80020.1,small heat shock protein sHSP20,NA,NA
INOH1078ai,NA,NODE_59_length_18366_cov_34.234521,3037,5883,+,clpK,heat shock survival AAA family ATPase ClpK,plus,STRESS,HEAT,NA,NA,BLASTX,949,949,100,99.58,949,ASF80763.1,heat shock survival AAA family ATPase ClpK,NA,NA
INOH1078ai,NA,NODE_59_length_18366_cov_34.234521,7944,8399,+,shsP,small heat shock protein sHSP20-GI,plus,STRESS,HEAT,NA,NA,BLASTX,152,152,100,97.37,152,ASF80771.1,small heat shock protein sHSP20-GI,NA,NA
INOH1078ai,NA,NODE_59_length_18366_cov_34.234521,8424,9329,+,yfdX1,heat resistance protein YfdX1,plus,STRESS,HEAT,NA,NA,BLASTX,302,304,100,92.11,304,APX31172.1,heat resistance protein YfdX1,NA,NA
INOH1078ai,NA,NODE_59_length_18366_cov_34.234521,9435,10319,+,yfdX2,heat resistance protein YfdX2,plus,STRESS,HEAT,NA,NA,BLASTX,295,295,100,96.27,295,ASF80766.1,heat resistance protein YfdX2,NA,NA
INOH1078ai,NA,NODE_59_length_18366_cov_34.234521,10412,11020,+,hdeD-GI,heat resistance membrane protein HdeD-GI,plus,STRESS,HEAT,NA,NA,EXACTX,203,203,100,100,203,APX31174.1,heat resistance membrane protein HdeD-GI,NA,NA
INOH1078ai,NA,NODE_59_length_18366_cov_34.234521,12238,12675,+,trxLHR,heat resistance system thioredoxin Trx-GI,plus,STRESS,HEAT,NA,NA,BLASTX,146,146,100,98.63,146,APX31176.1,heat resistance system thioredoxin Trx-GI,NA,NA
INOH1078ai,NA,NODE_59_length_18366_cov_34.234521,12682,14394,+,kefB-GI,heat resistance system K+/H+ antiporter KefB-GI,plus,STRESS,HEAT,NA,NA,BLASTX,571,571,100,99.3,571,APX31177.1,heat resistance system K+/H+ antiporter KefB-GI,NA,NA
INOH1078ai,NA,NODE_59_length_18366_cov_34.234521,14394,14888,+,psi-GI,heat resistance protein PsiE-GI,plus,STRESS,HEAT,NA,NA,BLASTX,165,165,100,98.18,165,APX31178.1,heat resistance protein PsiE-GI,NA,NA
INOH1078ai,NA,NODE_7_length_139810_cov_29.738353,5585,6736,-,espX1,type III secretion system effector EspX1,plus,VIRULENCE,VIRULENCE,NA,NA,INTERNAL_STOP,384,473,81.18,86.01,386,ADD54679.1,type III secretion system effector EspX1,NA,NA
INOH1078ai,NA,NODE_95_length_2255_cov_26.856215,1971,2156,-,emrE,multidrug efflux SMR transporter EmrE,plus,STRESS,BIOCIDE,EFFLUX,EFFLUX,PARTIALX,62,110,56.36,95.16,62,CAA77936.1,multidrug efflux SMR transporter EmrE,NA,NA
